Title,Status,Genres,Updated,View,Rating
"Shangri-La Frontier ~ Kusoge Hunter, Kamige Ni Idoman To Su~",Ongoing,"Action, Romance, Sci fi, Shounen","Feb 21,2024 - 06:00 AM",26.3M,
Vivarium De Choushoku Wo,Ongoing,"Comedy, Horror, Mystery, Seinen","Feb 21,2024 - 05:36 AM",289.1K,
Sousou No Frieren,Ongoing,"Adventure, Drama, Fantasy, Shounen, Slice of life","Feb 21,2024 - 05:36 AM",43.1M,
The Genius Assassin Who Takes It All,Ongoing,"Action, Adventure, Fantasy, Manhwa","Feb 21,2024 - 04:44 AM",1.2M,
Real Man,Ongoing,"Action, Drama, Seinen","Feb 08,2024 - 18:53 PM",28.5M,
I Became A Sales Prodigy,Ongoing,"Comedy, Drama, Shounen, Manhwa","Feb 21,2024 - 04:43 AM",23K,
I Can Summon God,Ongoing,"Action, Adventure, Harem, Martial arts, Isekai","Feb 21,2024 - 04:42 AM",6.7M,
Bloodhound’S Regression Instinct,Ongoing,"Action, Adventure, Fantasy, Manhwa","Feb 21,2024 - 04:40 AM",656.7K,
Genius Of The Unique Lineage,Ongoing,"Action, Adventure, Comedy, Fantasy, Martial arts, Sports, Supernatural","Feb 21,2024 - 04:40 AM",29M,
21 Century Retrogression,Ongoing,"Action, Martial arts, Mystery, Manhwa","Feb 21,2024 - 04:39 AM",111.1K,
Ano Toki Tasukete Itadaita Monster Musume Desu,Ongoing,"Fantasy, Romance, School life, Seinen, Slice of life, Isekai","Feb 21,2024 - 04:30 AM",322.3K,
To Deny The Route,Ongoing,"Fantasy, Shounen ai, Webtoons","Feb 21,2024 - 04:12 AM",530.8K,
Wet Sand,Ongoing,"Drama, Webtoons, Yaoi","Feb 21,2024 - 04:11 AM",2.1M,
One Summer Day,Ongoing,"Comedy, Drama, Fantasy, Mature, Romance, Smut, Webtoons, Yaoi","Feb 21,2024 - 04:11 AM",1.3M,
Gaechaban,Ongoing,"Action, Drama, Mature, Romance, Smut, Webtoons, Yaoi","Feb 21,2024 - 04:10 AM",3.5M,
Werewolves Going Crazy Over Me,Drama - Fantasy - Josei - Romance - Supernatural,,"Feb 21,2024 - 04:10 AM",674.2K,
"When Trying To Get Back At The Hometown Bullies, Another Battle Began",Ongoing,"Comedy, Harem, Romance, School life","Feb 21,2024 - 04:04 AM",6.4M,
Return Of The Bloodthirsty Police,Ongoing,"Action, Drama, Manhwa","Feb 21,2024 - 03:42 AM",12.6M,
Saving The Villain Who Was Abandoned By The Female Lead,Ongoing,"Fantasy, Romance, Webtoons","Feb 21,2024 - 03:42 AM",28.3M,
I Don’T Want To Be A Magpie Bridge,Ongoing,"Fantasy, Romance, Manhwa, Isekai","Feb 21,2024 - 03:40 AM",2.4M,
"Sorry, I Am Also A Big Shot",Ongoing,"Comedy, Drama, Fantasy, Romance","Feb 21,2024 - 03:40 AM",16K,
Flip The Script,Ongoing,"Mature, Webtoons, Yaoi","Feb 21,2024 - 03:39 AM",15.8K,
Kino's Journey (Gou),Ongoing,"Action, Adventure, Fantasy, Mystery, Shounen","Feb 21,2024 - 03:35 AM",36.6K,
The Cuckoo's Fiancee,Ongoing,"Comedy, Harem, Romance, School life, Shounen","Feb 21,2024 - 03:30 AM",37.8M,
Eden's Zero,Ongoing,"Action, Adventure, Fantasy, Martial arts, Shounen","Feb 21,2024 - 03:30 AM",41.1M,
Wakarasero! Namaikitsune-Sama,Ongoing,"Comedy, Fantasy, Seinen, Slice of life, Supernatural","Feb 21,2024 - 03:04 AM",183.9K,
After Being Called A Hero: The Unrivaled Man Starts A Family,Ongoing,"Action, Drama, Fantasy, Romance, Shounen","Feb 21,2024 - 02:47 AM",2M,
Kyoukai Meikyuu To Ikai No Majutsushi,Ongoing,"Action, Adventure, Fantasy, Harem, Romance, Shounen","Feb 21,2024 - 02:47 AM",31.5M,
The Bully In-Charge,Ongoing,"Action, Drama, Seinen","Feb 21,2024 - 02:46 AM",28.5M,
Please Call Me Ghost Messenger,Ongoing,"Action, Drama, Fantasy, Horror, Shounen, Supernatural, Manhua","Feb 21,2024 - 02:46 AM",962.1K,
The Age Of Genes,Ongoing,"Action, Drama, Fantasy, Shounen, Manhua","Feb 21,2024 - 02:45 AM",1M,
Reborn As A Squid,Ongoing,"Action, Drama, Fantasy, Shounen, Manhua","Feb 21,2024 - 02:43 AM",366.3K,
Foreigner On The Periphery,Ongoing,"Action, Adventure, Drama, Fantasy, Sci fi, Supernatural, Webtoons, Manhwa","Feb 21,2024 - 02:42 AM",12.4M,
The Story Of How I Can Change The World With My Skill {Translation} ~ How I Used {Translation} To Become The World's Strongest!,Action - Adventure - Fantasy - Shounen,,"Feb 21,2024 - 02:41 AM",1.5M,
Yuan Zun,Ongoing,"Action, Fantasy, Martial arts, Shounen","Feb 21,2024 - 02:40 AM",92.7M,
Emperor’S Domination,Ongoing,"Action, Adventure, Drama, Fantasy, Harem, Martial arts, Mystery","Feb 21,2024 - 02:40 AM",14.3M,
Brandal,Ongoing,"Action, Martial arts","Feb 21,2024 - 01:45 AM",114K,
Majo Taisen - The War Of Greedy Witches,Ongoing,"Action, Fantasy, Historical, Martial arts, Psychological, Seinen, Supernatural, Tragedy","Feb 21,2024 - 01:43 AM",3.4M,
Hajime No Ippo,Ongoing,"Action, Comedy, Drama, Shounen, Sports","Feb 21,2024 - 01:40 AM",118.6M,
Make The Exorcist Fall In Love,Comedy - Romance - Supernatural,,"Feb 21,2024 - 01:33 AM",6.1M,
Kabushiki Gaisha Magi Lumiere,Ongoing,"Action, Comedy, Shounen, Supernatural","Feb 21,2024 - 01:32 AM",1.5M,
Heart Gear,Ongoing,"Action, Adventure, Mecha, Mystery, Sci fi, Shounen, Slice of life","Feb 21,2024 - 01:31 AM",2.2M,
Dragon Ball Super,Ongoing,Shounen,"Feb 21,2024 - 01:31 AM",29.2M,
Boruto: Two Blue Vortex,Ongoing,"Action, Adventure, Drama, Martial arts, Shounen","Feb 21,2024 - 01:30 AM",717.8K,
Lee Seob’S Love,Ongoing,"Comedy, Drama, Fantasy, Romance, Slice of life, Manhwa","Feb 21,2024 - 01:11 AM",707K,
Star-Embracing Swordmaster,Ongoing,"Action, Drama, Fantasy, Historical","Feb 21,2024 - 01:10 AM",3.5M,
Peerless Battle Spirit,Ongoing,"Action, Adventure, Fantasy, Martial arts","Feb 21,2024 - 01:10 AM",61.1M,
Schrödinger's Sheep,Ongoing,"Action, Comedy, Drama, Fantasy, Shounen, Slice of life, Webtoons","Feb 21,2024 - 01:08 AM",8.1K,
Ousama Ranking,Ongoing,"Comedy, Fantasy, Shounen","Feb 21,2024 - 01:05 AM",16M,
Kyokutou Chimeratica,Ongoing,"Action, Adventure, Fantasy, Martial arts, Seinen","Feb 21,2024 - 00:47 AM",656K,
The Archmage's Restaurant,Ongoing,"Action, Adventure, Comedy, Cooking, Fantasy, Slice of life, Isekai","Feb 21,2024 - 00:45 AM",2.5M,
The Civil Servant Hunter’S S-Class Resignation Log,Ongoing,"Romance, Manhwa","Feb 21,2024 - 00:42 AM",67.9K,
I Am The Final Boss,Action - Adventure - Comedy - Fantasy,,"Feb 21,2024 - 00:41 AM",789.7K,
Gundam Reconguista In G,Ongoing,"Action, Adventure, Drama, Mecha, Shounen, Slice of life","Feb 21,2024 - 00:41 AM",3.8K,
Gabai,Ongoing,"Comedy, Historical, Seinen, Slice of life","Feb 21,2024 - 00:35 AM",28.8K,
The Bad Ending Of The Otome Game,Ongoing,"Fantasy, Josei, Romance","Feb 21,2024 - 00:32 AM",11.3M,
The Heavenly Demon Destroys The Lich King's Murim,Ongoing,"Action, Adventure, Fantasy, Martial arts, Shounen","Feb 21,2024 - 00:31 AM",12.9M,
"Even The Demon King, One Step At A Time",Ongoing,"Action, Adventure, Comedy, Drama, Fantasy, Mystery, Shounen, Manhwa","Feb 21,2024 - 00:30 AM",6.6M,
Turning Code,Josei - Webtoons - Yaoi,,"Feb 21,2024 - 00:29 AM",42K,
I Am The Final Boss,Ongoing,"Action, Comedy, Drama, Fantasy, Supernatural, Isekai","Feb 21,2024 - 00:13 AM",1.7M,
The Power Of The Soul,Updating,,"Feb 21,2024 - 00:12 AM",731.8K,
Omniscient Reader's Viewpoint,Ongoing,"Action, Adventure, Sci fi, Webtoons, Manhwa","Feb 21,2024 - 00:11 AM",38.2M,
How To Hide The Emperor's Child,Ongoing,"Drama, Fantasy, Historical, Josei, Romance","Feb 21,2024 - 00:10 AM",23.7M,
Talent-Swallowing Magician,Ongoing,"Action, Drama, Fantasy, Shounen, Webtoons, Manhwa","Feb 21,2024 - 00:10 AM",55M,
The Cook Of A Perished World,Ongoing,"Action, Adventure, Fantasy, Manhwa","Feb 20,2024 - 23:45 PM",824.3K,
"Vengeful Weapon, Tears Of Poison",Ongoing,"Drama, Fantasy, Mature, Romance, Webtoons","Feb 20,2024 - 23:44 PM",100.8K,
Blue Lock,Ongoing,"Action, Drama, Shounen, Sports","Feb 20,2024 - 23:42 PM",104.3M,
The Heat Of The Reincarnated Villainess,Ongoing,"Drama, Fantasy, Historical, Josei, Mature, Romance, Smut, Isekai","Feb 20,2024 - 23:41 PM",9.1M,
The Max-Level Player’S 100Th Regression,Ongoing,"Action, Adventure, Drama, Fantasy, Supernatural, Manhwa","Feb 20,2024 - 23:39 PM",1.8M,
Gochuumon Wa Usagi Desu Ka?,Ongoing,"Comedy, Seinen, Slice of life","Feb 20,2024 - 23:35 PM",1.5M,
Quoth The Boy,Ongoing,"Comedy, Romance, School life","Feb 20,2024 - 23:22 PM",20.1K,
Ghostly Vendetta,Ongoing,"Drama, Mature, Mystery, Smut, Webtoons, Yaoi","Feb 20,2024 - 23:21 PM",1.1M,
